skill_id,synonym
sql,sql
sql,mysql
sql,postgresql
sql,postgres
sql,t-sql
sql,pl/sql
python,python
python,pandas
python,numpy
excel,excel
excel,microsoft excel
excel,advanced excel
excel,vlookup
excel,pivot tables
power_bi,power bi
power_bi,powerbi
tableau,tableau
data_cleaning,data cleaning
data_cleaning,data cleansing
data_cleaning,data wrangling
data_cleaning,data quality
etl,etl
etl,extract transform load
etl,data pipeline
etl,data pipelines
sql_server,sql server
sql_server,mssql
sql_server,ssis
sql_server,ssrs
data_modelling,data modelling
data_modelling,data modeling
data_modelling,dimensional modelling
data_modelling,star schema
dashboarding,dashboard
dashboarding,dashboards
dashboarding,dashboarding
dashboarding,report writing
dashboarding,management reporting
dashboarding,business intelligence reporting
stakeholder_comms,stakeholder management
stakeholder_comms,stakeholder communication
stakeholder_comms,cross-functional
cloud_aws,aws
cloud_aws,amazon web services
cloud_azure,azure
cloud_azure,microsoft azure
cloud_gcp,gcp
cloud_gcp,google cloud
statistics,statistics
statistics,statistical analysis
statistics,regression
statistics,hypothesis testing
r_lang,r programming
r_lang,r language
data_warehousing,data warehouse
data_warehousing,data warehousing
data_warehousing,snowflake
data_warehousing,redshift
data_warehousing,bigquery
communication,communication skills
communication,presentation skills
containerization,docker
containerization,kubernetes
containerization,k8s
containerization,containerisation
containerization,containerization
big_data_processing,spark
big_data_processing,apache spark
big_data_processing,pyspark
big_data_processing,hadoop
big_data_processing,kafka
big_data_processing,apache kafka
databricks,databricks
orchestration,airflow
orchestration,apache airflow
orchestration,dbt
version_control,git
version_control,github
version_control,gitlab
ci_cd,ci/cd
ci_cd,continuous integration
ci_cd,jenkins
requirements_gathering,requirements gathering
requirements_gathering,business requirements
requirements_gathering,brd
requirements_gathering,functional specification
requirements_gathering,user stories
process_mapping,process mapping
process_mapping,business process
process_mapping,process improvement
process_mapping,gap analysis
agile_methodology,agile
agile_methodology,scrum
agile_methodology,kanban
agile_methodology,sprint planning
change_management,change management
business_case,business case
business_analysis_tools,jira
business_analysis_tools,confluence
business_analysis_tools,visio
business_analysis_tools,uml
accounting_gaap,gaap
accounting_gaap,ifrs
accounting_reconciliation,reconciliation
accounting_reconciliation,bank reconciliation
accounting_reconciliation,account reconciliation
accounting_reporting,financial reporting
accounting_reporting,management accounts
accounting_reporting,financial statements
tax_compliance,tax compliance
tax_compliance,vat
tax_compliance,income tax
accounting_software,pastel
accounting_software,sage
accounting_software,quickbooks
accounting_software,sap fico
accounting_software,caseware
audit,audit
audit,internal audit
audit,external audit
budgeting,budgeting
budgeting,forecasting
budgeting,variance analysis
accounting_qualification,saica
accounting_qualification,ca(sa)
accounting_qualification,saipa
clinical_care,patient care
clinical_care,clinical assessment
clinical_care,vital signs
nursing_qualification,sanc
nursing_qualification,diploma in nursing
nursing_qualification,bachelor of nursing
medication_administration,medication administration
medication_administration,drug administration
infection_control,infection control
infection_control,ppe
patient_documentation,patient records
patient_documentation,clinical documentation
emergency_care,emergency care
emergency_care,triage
emergency_care,resuscitation
healthcare_compliance,hpcsa
healthcare_compliance,healthcare regulations
civil_design,structural design
civil_design,civil design
civil_design,site design
civil_engineering_software,autocad
civil_engineering_software,civil 3d
civil_engineering_software,revit
civil_engineering_software,staad pro
project_management_general,project management
project_management_construction,construction management
project_management_construction,site supervision
engineering_standards,sans
engineering_standards,building regulations
engineering_standards,national building regulations
quantity_surveying,quantity surveying
quantity_surveying,boq
quantity_surveying,bill of quantities
civil_qualification,pr eng
civil_qualification,ecsa
site_management,site management
site_management,site inspection
digital_marketing,digital marketing
digital_marketing,seo
digital_marketing,sem
digital_marketing,ppc
social_media_marketing,social media marketing
social_media_marketing,social media management
content_marketing,content marketing
content_marketing,content strategy
content_marketing,copywriting
marketing_analytics,google analytics
marketing_analytics,campaign analytics
marketing_analytics,marketing roi
email_marketing,email marketing
email_marketing,mailchimp
brand_management,brand management
brand_management,brand strategy
marketing_tools,hubspot
marketing_tools,meta ads
marketing_tools,google ads
crm_tools,crm
crm_tools,salesforce
crm_tools,hubspot crm
software_languages,java
software_languages,c#
software_languages,c++
software_languages,javascript
software_languages,typescript
software_languages,go
software_languages,ruby
software_frameworks,react
software_frameworks,angular
software_frameworks,vue
software_frameworks,node.js
software_frameworks,django
software_frameworks,flask
software_frameworks,spring boot
software_frameworks,.net
software_testing,unit testing
software_testing,test-driven development
software_testing,tdd
software_testing,selenium
software_architecture,microservices
software_architecture,rest api
software_architecture,api design
software_devops,devops
software_devops,cicd
software_devops,terraform
mobile_development,ios development
mobile_development,android development
mobile_development,react native
mobile_development,flutter
machine_learning,machine learning
machine_learning,scikit-learn
machine_learning,tensorflow
machine_learning,pytorch
data_science_stats,predictive modelling
data_science_stats,feature engineering
data_science_stats,model deployment
nlp,natural language processing
nlp,nlp
computer_vision,computer vision
computer_vision,image recognition
